userId,movieId,rating
201,1,4
201,111,4
201,268,5
201,283,4
201,291,3
201,305,5
201,331,5
201,740,5
202,259,3
202,292,5
202,682,3
202,872,4
202,877,3
202,880,5
202,887,5
202,895,4
202,948,3
203,7,5
203,9,3
203,100,5
203,106,2
203,111,4
203,117,4
203,118,5
203,121,5
203,123,3
203,129,4
203,148,5
203,181,4
203,222,5
203,235,5
203,274,3
203,276,4
203,284,1
203,291,4
203,370,3
203,410,2
203,471,5
203,472,4
203,515,4
203,546,3
203,597,2
203,685,4
203,748,5
203,845,4
203,864,4
203,866,4
203,925,4
203,928,3
204,22,5
204,66,4
204,243,3
204,245,3
204,258,4
204,259,5
204,269,4
204,270,4
204,289,1
204,300,4
204,307,4
204,310,4
204,313,5
204,323,3
204,327,2
204,331,3
204,333,2
204,342,3
204,343,1
204,348,3
204,678,4
204,683,4
204,687,3
204,689,2
204,690,5
204,748,4
204,754,3
204,879,3
204,892,2
204,901,2
205,2,1
205,5,4
205,8,4
205,11,4
205,12,5
205,22,5
205,23,5
205,28,4
205,29,4
205,30,1
205,31,1
205,32,1
205,33,1
205,37,1
205,38,5
205,39,1
205,40,2
205,41,1
205,42,1
205,43,1
205,45,1
205,47,5
205,48,1
205,49,1
205,50,5
205,51,1
205,52,1
205,53,2
205,55,1
205,56,4
205,57,1
205,58,1
205,60,1
205,61,1
205,62,1
205,63,3
205,64,5
205,66,5
205,67,5
205,68,1
205,70,3
205,71,1
205,72,3
205,73,5
205,75,2
205,76,3
205,77,1
205,78,2
205,80,1
205,81,3
205,82,4
205,83,1
205,85,4
205,87,1
205,88,3
205,90,4
205,91,2
205,92,1
205,94,5
205,96,3
205,97,2
205,98,4
205,101,1
205,102,1
205,127,5
205,132,5
205,135,5
205,139,3
205,141,2
205,142,1
205,149,1
205,161,1
205,168,1
205,169,1
205,172,5
205,173,5
205,175,1
205,178,3
205,179,1
205,180,3
205,183,1
205,184,1
205,185,4
205,186,5
205,188,1
205,189,1
205,190,2
205,191,4
205,192,5
205,193,4
205,195,5
205,197,4
205,198,2
205,199,1
205,200,2
205,202,4
205,204,5
205,206,1
205,207,1
205,208,5
205,210,5
205,211,1
205,212,1
205,214,4
205,215,5
205,216,2
205,217,1
205,218,5
205,219,5
205,226,2
205,227,1
205,228,1
205,229,1
205,230,2
205,231,3
205,232,4
205,233,1
205,234,5
205,238,5
205,239,3
205,265,2
205,288,5
205,302,4
205,308,1
205,317,4
205,318,5
205,347,4
205,350,1
205,351,1
205,356,5
205,361,2
205,364,1
205,365,1
205,366,3
205,367,1
205,371,1
205,374,1
205,376,5
205,377,1
205,379,1
205,383,1
205,384,3
205,386,3
205,387,1
205,388,4
205,391,1
205,393,4
205,395,3
205,396,1
205,397,4
205,399,1
205,400,1
205,402,3
205,403,5
205,404,4
205,414,1
205,415,2
205,416,2
205,417,2
205,419,4
205,420,5
205,421,1
205,422,1
205,423,5
205,426,1
205,427,5
205,430,1
205,431,3
205,433,4
205,434,3
205,437,1
205,438,1
205,439,1
205,440,1
205,441,1
205,442,1
205,444,3
205,446,1
205,447,4
205,448,4
205,449,1
205,450,1
205,451,5
205,452,5
205,453,3
205,461,3
205,462,2
205,463,1
205,464,1
205,465,1
205,467,4
205,469,1
205,470,1
205,480,4
205,482,3
205,501,3
205,504,2
205,509,1
205,510,1
205,511,2
205,514,1
205,515,1
205,516,1
205,517,3
205,518,1
205,519,2
205,520,2
205,521,4
205,522,1
205,523,2
205,524,1
205,525,1
205,526,1
205,527,5
205,528,1
205,529,1
205,530,1
205,536,1
205,537,1
205,540,1
205,541,1
205,543,1
205,545,1
205,548,1
205,549,1
205,551,1
205,552,1
205,553,1
205,555,1
205,556,1
205,557,1
205,558,1
205,559,5
205,560,1
205,561,1
205,562,1
205,563,1
205,564,1
205,565,2
205,566,1
205,567,2
205,568,4
205,569,1
205,570,1
205,573,3
205,574,1
205,575,5
205,577,3
205,578,1
205,579,1
205,580,1
205,581,3
205,583,1
205,584,1
205,585,1
205,586,4
205,588,2
205,592,1
205,593,1
205,603,3
205,606,3
205,622,1
205,623,1
205,624,4
205,625,3
205,626,1
205,627,1
205,639,1
205,642,1
205,643,1
205,644,3
205,645,1
205,647,1
205,648,1
205,649,1
205,650,1
205,651,5
205,652,1
205,653,1
205,654,2
205,655,5
205,656,1
205,659,4
205,661,3
205,662,1
